00000000000000000000000001;20023;DEPOSIT
00000000000000000000000002;4532;WITHDRAW
00000000000000000000000005;4532;DEPOSIT
00000000000000000000000001;4532;DEPOSIT
00000000000000000000000003;4532;WITHDRAW
00000000000000000000000004;4532;DEPOSIT
00000000000000000000000004;4532;DEPOSIT
00000000000000000000000004;4532;WITHDRAW
00000000000000000000000004;4532;DEPOSIT
00000000000000000000000005;4532;DEPOSIT
00000000000000000000000002;4532;WITHDRAW
00000000000000000000000008;4532;DEPOSIT
00000000000000000000000007;4532;WITHDRAW
